param_value n_regimes avg_regime_duration transition_entropy dag_edges pac_bayes_bound shield_permissivity
1 1 200 0.623227 1 0.0316902 0.1
5 1 200 0.623227 1 0.0316902 0.1
10 1 200 0.623227 1 0.0316902 0.1
50 1 200 0.623227 1 0.0316902 0.1
100 1 200 0.623227 1 0.0316902 0.1
