param_value n_regimes avg_regime_duration transition_entropy dag_edges pac_bayes_bound shield_permissivity
0.01 1 200 0.623227 1 0.0316902 0.1
0.05 1 200 0.623227 1 0.0316902 0.1
0.1 1 200 0.623227 1 0.0316902 0.1
0.2 1 200 0.623227 1 0.0316902 0.1
