param_value n_regimes avg_regime_duration transition_entropy dag_edges pac_bayes_bound shield_permissivity
0.01 1 200 0.623227 1 0.0397374 0.1
0.02 1 200 0.623227 1 0.0362716 0.1
0.05 1 200 0.623227 1 0.0316902 0.1
0.1 1 200 0.623227 1 0.0282245 0.1
0.2 1 200 0.623227 1 0.0247587 0.1
