# states	prove_ms_predicted	verify_ms_predicted	proof_bytes_predicted
2864	224860.98	3.3486	702904
2880	227460.55	3.3556	704807
2896	230075.51	3.3626	706704
2912	232705.89	3.3695	708596
2928	235351.67	3.3764	710483
2944	238012.88	3.3833	712365
2960	240689.50	3.3902	714241
2976	243381.56	3.3970	716112
2992	246089.04	3.4039	717978
3008	248811.97	3.4107	719838
3024	251550.34	3.4174	721694
3040	254304.15	3.4242	723545
3056	257073.42	3.4309	725390
3072	259858.15	3.4376	727231
3088	262658.34	3.4443	729067
3104	265474.01	3.4510	730897
3120	268305.14	3.4576	732723
3136	271151.76	3.4643	734545
3152	274013.86	3.4709	736361
3168	276891.45	3.4775	738173
3184	279784.53	3.4840	739979
3200	282693.11	3.4906	741782
3216	285617.20	3.4971	743579
3232	288556.79	3.5036	745372
3248	291511.90	3.5101	747161
3264	294482.53	3.5165	748945
3280	297468.68	3.5230	750724
3296	300470.36	3.5294	752499
3312	303487.57	3.5358	754270
3328	306520.32	3.5422	756036
3344	309568.61	3.5485	757798
3360	312632.45	3.5549	759555
3376	315711.84	3.5612	761308
3392	318806.78	3.5675	763057
3408	321917.29	3.5738	764802
3424	325043.37	3.5801	766542
3440	328185.01	3.5863	768278
3456	331342.23	3.5925	770011
3472	334515.03	3.5987	771739
3488	337703.41	3.6049	773462
3504	340907.39	3.6111	775182
3520	344126.95	3.6173	776898
3536	347362.12	3.6234	778610
3552	350612.88	3.6296	780318
3568	353879.25	3.6357	782021
3584	357161.24	3.6418	783721
3600	360458.83	3.6478	785417
3616	363772.05	3.6539	787109
3632	367100.90	3.6599	788798
3648	370445.37	3.6660	790482
3664	373805.47	3.6720	792163
3680	377181.21	3.6780	793840
3696	380572.60	3.6839	795513
3712	383979.63	3.6899	797182
3728	387402.30	3.6958	798848
3744	390840.64	3.7018	800510
3760	394294.63	3.7077	802168
3776	397764.29	3.7136	803823
3792	401249.61	3.7194	805474
3808	404750.60	3.7253	807122
3824	408267.27	3.7312	808766
3840	411799.62	3.7370	810406
3856	415347.65	3.7428	812043
3872	418911.37	3.7486	813677
3888	422490.79	3.7544	815307
3904	426085.90	3.7602	816933
3920	429696.70	3.7659	818556
3936	433323.22	3.7717	820176
3952	436965.44	3.7774	821792
3968	440623.37	3.7831	823405
3984	444297.02	3.7888	825015
4000	447986.39	3.7945	826621
4016	451691.49	3.8002	828224
4032	455412.31	3.8058	829824
4048	459148.87	3.8115	831420
4064	462901.16	3.8171	833014
4080	466669.19	3.8227	834604
4096	470452.97	3.8283	836190

# Empirical data points
# states	prove_ms	verify_ms	proof_bytes
32	21.8	0.6	82248
64	67.4	0.8	109192
96	223.9	1.1	137352
128	358.8	1.0	147848
160	718.7	1.2	177224
192	1119.3	1.2	187720
224	1140.4	1.2	198216
256	1131.0	1.2	208712
320	2947.0	1.6	249800
400	3820.5	1.5	276040
512	5579.8	1.9	312776
